,validatation_mae,validation_mse,train_mae,train_mse
0,1.1255687,0.6603463,1.1970731,0.707133
1,1.0770397,0.63790005,1.1303458,0.66591287
2,1.0163785,0.61280715,1.0265393,0.61584556
3,0.91416436,0.5588838,0.9627692,0.5852492
4,0.90233546,0.55637383,0.9387322,0.57337683
5,0.93600243,0.56981695,0.9350925,0.5717904
6,0.8783743,0.5413051,0.92553836,0.5665197
7,0.90294206,0.552469,0.90976644,0.55826294
8,0.88717014,0.54563373,0.900364,0.553758
9,0.906885,0.5556418,0.9093115,0.5583251
10,0.89080983,0.5461514,0.8939187,0.55101925
11,0.9074917,0.555096,0.8944495,0.55116105
12,0.8877768,0.54517555,0.8861086,0.5476429
13,0.90840155,0.5554718,0.8904307,0.54930544
14,0.90172887,0.5523357,0.8883834,0.5481157
15,0.9087049,0.555761,0.8875493,0.5481812
16,0.918714,0.5611836,0.8877009,0.54794455
17,0.8944495,0.54840034,0.8898241,0.5490575
18,0.8905065,0.54822934,0.8726873,0.5413863
19,0.89596605,0.55107164,0.8804974,0.5448312
20,0.8947528,0.54877853,0.8747346,0.5421575
21,0.8944495,0.5509438,0.86768275,0.53864497
22,0.8947528,0.54863095,0.872839,0.5414449
23,0.88899,0.5473646,0.89346373,0.5507376
24,0.885047,0.54584706,0.876327,0.54268056
25,0.88171065,0.54677254,0.8637398,0.5359785
26,0.90263873,0.5563535,0.86912346,0.53914344
27,0.88322717,0.54685205,0.86609036,0.53821766
28,0.9005156,0.5544221,0.8707158,0.54002446
29,0.91659087,0.56265575,0.86396724,0.5362876
30,0.92053384,0.5677979,0.86199576,0.53502613
31,0.8993024,0.5578514,0.85835606,0.53355366
32,0.9196239,0.56218123,0.85145587,0.53091836
33,0.9235669,0.5679894,0.857522,0.5330741
34,0.8953594,0.5533182,0.84205335,0.525029
35,0.90779495,0.5575147,0.8468304,0.52769506
36,0.9041553,0.5556061,0.843949,0.52586335
37,0.899909,0.5560348,0.84576887,0.52670765
38,0.89717925,0.5538988,0.84713376,0.52766114
39,0.9132545,0.5650007,0.8403094,0.52449906
40,0.9044586,0.5568399,0.8275705,0.5171117
41,0.8993024,0.55079657,0.8346982,0.521876
42,0.8698817,0.5430035,0.831741,0.5195745
43,0.88383377,0.54998946,0.8268881,0.5172801
