,validatation_mae,validation_mse,train_mae,train_mse
0,1.1750076,0.6980196,1.2725964,0.7391462
1,1.1389141,0.6793846,1.1308765,0.6633526
2,1.0251744,0.62306523,1.038899,0.61822647
3,1.0103124,0.616591,0.9505611,0.5760822
4,0.98331815,0.60480577,0.91560507,0.55812925
5,0.9799818,0.6016336,0.9103731,0.55570805
6,0.970276,0.60015213,0.90491354,0.55334747
7,0.96148014,0.59256923,0.89232635,0.54686004
8,0.9393388,0.5821335,0.892023,0.5461575
9,0.9511677,0.5902912,0.88436455,0.5435728
10,0.9745223,0.6001672,0.8814073,0.54159653
11,0.96845615,0.5975339,0.8801941,0.5406199
12,0.97148925,0.59883684,0.88535035,0.5435825
13,0.93751895,0.58217573,0.8732939,0.53742564
14,0.9426752,0.58441633,0.87200487,0.5377085
15,0.9675462,0.59709746,0.8698817,0.53552985
16,0.9584471,0.5938878,0.86457384,0.53312236
17,0.95298755,0.5885896,0.8679102,0.5351783
18,0.94874126,0.58774626,0.8685927,0.53587925
19,0.9511677,0.5914746,0.86101,0.5322507
20,0.9287231,0.5789878,0.86320895,0.53270805
21,0.9532909,0.5891159,0.855778,0.530266
22,0.95177436,0.5892698,0.87041247,0.5365419
23,0.9605702,0.5938044,0.8543373,0.528619
24,0.944495,0.5858816,0.84993935,0.52623993
25,0.95784044,0.59100187,0.8600243,0.53133464
26,0.9499545,0.58955145,0.8509251,0.5273515
27,0.9457082,0.5885019,0.85767365,0.52989435
28,0.9705793,0.60273576,0.83917195,0.52064013
29,0.94601154,0.58751607,0.8460722,0.5246585
30,0.9584471,0.59332323,0.84372157,0.52315134
31,0.9378223,0.5841971,0.8447073,0.52368927
32,0.94297844,0.5867938,0.8268881,0.515971
33,0.9545041,0.5929007,0.831286,0.5166044
34,0.9447983,0.5895723,0.8291629,0.5149106
35,0.93205947,0.5816711,0.8276464,0.51515836
36,0.95723385,0.59138566,0.83712465,0.52034897
37,0.9551107,0.5939073,0.8332575,0.5178321
38,0.9633,0.596845,0.8392478,0.52060866
39,0.9708826,0.6003294,0.82794964,0.514874
40,0.9493479,0.5919884,0.8232484,0.5125799
41,0.9575372,0.5960572,0.81619656,0.50844985
42,0.94783133,0.59675264,0.80762815,0.5045493
