validation_mae,validation_mse,train_mae,train_mse,train_accuracy
1.1750076,0.6842211,1.2443888,0.7231222,54.91356
1.11101,0.6533946,1.1147255,0.6588993,58.303
1.0503488,0.62417144,1.0216864,0.61361426,60.403397
1.0367,0.61868924,1.002654,0.60401,60.86594
1.0464058,0.62256706,0.98066425,0.5941218,61.237488
1.0172884,0.61016756,0.9802851,0.5935616,61.290565
1.0230513,0.6104274,0.9513194,0.58031535,61.81377
1.0009099,0.6003588,0.94237185,0.5752591,62.117077
0.9751289,0.58741885,0.9372156,0.5722818,62.314224
0.99120414,0.5961266,0.93888384,0.57342035,62.223232
