,validation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,0.9848347,0.624431,0.5558083,0.3272364,79.3297
1,0.9557173,0.6019868,0.57946616,0.34302655,78.16955
2,0.9760388,0.6180937,0.60539883,0.35943356,77.04732
3,0.96572644,0.61044145,0.5997877,0.35625723,77.26721
4,0.9396421,0.6009765,0.5875038,0.34944332,77.65393
5,0.96633303,0.6088299,0.58939946,0.35010025,77.6236
6,0.97270244,0.616839,0.5853807,0.34793097,77.7525
7,0.95875037,0.60403174,0.56536245,0.33568862,78.57143
8,0.94722474,0.5999744,0.5608887,0.3310996,79.02639
9,0.9705793,0.6141603,0.55338186,0.32601216,79.382774
10,0.98331815,0.6223976,0.54420686,0.32019192,79.79982
11,0.97330904,0.61574644,0.5467091,0.3219769,79.64058
12,0.9526843,0.60357255,0.54071885,0.31804347,79.92873
13,0.9596603,0.6107965,0.5487564,0.32208583,79.72399
14,0.9705793,0.61487836,0.5395814,0.31677687,80.057625
15,0.95875037,0.6090443,0.55216867,0.32460728,79.51926
16,0.97725207,0.6196306,0.5495905,0.32273567,79.6785
17,0.9696694,0.6148589,0.5422354,0.31750727,80.080376
18,0.95359415,0.60446507,0.5389748,0.316592,80.042465
19,0.9599636,0.60696965,0.545875,0.31955272,79.95147
20,0.9639066,0.61082494,0.54496515,0.31964833,79.89081
21,0.9599636,0.61192894,0.5386715,0.3151938,80.23961
22,0.9605702,0.6128036,0.5379891,0.315007,80.22445
23,0.9687595,0.615515,0.5416288,0.31716356,80.10313
24,0.94752806,0.5991393,0.5363209,0.31363848,80.36093
25,0.9690628,0.61422056,0.538899,0.31516206,80.26236
26,0.9569305,0.6075041,0.5424628,0.31780505,80.057625
27,0.9690628,0.61459213,0.5294207,0.31032208,80.49742
28,0.9639066,0.61277795,0.5345769,0.31263393,80.41401
29,0.9569305,0.6100653,0.53927815,0.31516427,80.27753
30,0.97846526,0.61809224,0.53427356,0.31212738,80.482254
31,0.9563239,0.6102863,0.5289657,0.3086473,80.7249
32,0.9723992,0.6152788,0.53192294,0.31076097,80.55808
33,0.9602669,0.6092908,0.533212,0.31175026,80.47467
34,0.9569305,0.60760987,0.52843493,0.30885175,80.679405
35,0.9538975,0.6052429,0.53427356,0.31211987,80.482254
36,0.96845615,0.61487406,0.5311647,0.3102243,80.59599
37,0.9590537,0.61010325,0.53624505,0.31357715,80.35335
38,0.9511677,0.60396296,0.53563845,0.31380677,80.28511
39,0.9542008,0.6045551,0.5323779,0.3108384,80.57325
40,0.97148925,0.61564285,0.53298455,0.3117706,80.45951
41,0.9660297,0.61329037,0.531468,0.3104575,80.57325
42,0.9660297,0.61129016,0.53078556,0.31016707,80.59599
43,0.9745223,0.6165442,0.5294965,0.30902952,80.68699
44,0.9642099,0.6094589,0.5330604,0.31092536,80.58842
45,0.97694874,0.61790466,0.5346527,0.31190017,80.53533
46,0.970276,0.6168981,0.5326812,0.3110047,80.56567
47,0.96724296,0.613199,0.52578104,0.30706397,80.80073
48,0.96724296,0.61584765,0.5296482,0.3099394,80.55808
49,0.97421896,0.6195248,0.5297998,0.30971074,80.618744
50,0.9739157,0.61416316,0.52790415,0.3084735,80.69457
51,0.96208674,0.6085339,0.5319988,0.31050014,80.60358
52,0.95602065,0.6054268,0.5288899,0.308945,80.67182
53,0.9796785,0.6186089,0.52646345,0.30748376,80.76282
54,0.9675462,0.611803,0.5254777,0.30750054,80.70973
55,0.9748256,0.6186683,0.52638763,0.30766296,80.74007
56,0.9711859,0.6184302,0.5282075,0.30828425,80.73248
57,0.98149836,0.62443715,0.5288141,0.3090869,80.64908
58,0.96208674,0.61276585,0.5323021,0.31038558,80.641495
59,0.96178347,0.61125994,0.5217622,0.304946,80.91447
60,0.9696694,0.6114399,0.5181984,0.30277708,81.05854
61,0.9599636,0.6081265,0.52593267,0.30697915,80.82348
62,0.9575372,0.6079762,0.52441615,0.30666837,80.77798
63,0.9493479,0.60088634,0.52297544,0.30519408,80.929634
64,0.9866545,0.6262521,0.52843493,0.3083528,80.73248
65,0.96299666,0.6143547,0.52729756,0.30792186,80.75523
66,0.96845615,0.6130527,0.5245678,0.3054516,80.967545
67,0.944495,0.6017255,0.5239612,0.3050813,81.01304
68,0.95147103,0.6043979,0.52305126,0.30522147,80.929634
69,0.9660297,0.6093992,0.52274793,0.30529162,80.90688
70,0.97907186,0.6197031,0.5239612,0.30482632,81.03579
71,0.96633303,0.6142708,0.5276767,0.30678484,80.92205
72,0.98149836,0.6207233,0.52153474,0.30374956,81.08128
73,0.96845615,0.6140605,0.52244467,0.3048629,80.95238
74,0.9854413,0.6216926,0.5290415,0.30800533,80.815895
75,0.9745223,0.6140749,0.5225205,0.30501276,80.92205
76,0.97755533,0.61931294,0.5277525,0.30789232,80.77798
77,0.9505611,0.6045545,0.5247194,0.30578798,80.92205
78,0.94752806,0.60623974,0.5219139,0.3041366,81.028206
79,0.97634214,0.6179364,0.52100396,0.30409545,80.990295
80,0.9447983,0.60118985,0.5225963,0.3040792,81.0737
81,0.97846526,0.62069404,0.52236885,0.3041556,81.04337
82,0.9645132,0.6105735,0.52441615,0.30564737,80.93722
83,0.97270244,0.6167075,0.52214134,0.30459264,80.97513
84,0.9596603,0.61075115,0.5178192,0.30114394,81.27085
85,0.96299666,0.6113662,0.52934486,0.30792388,80.831055
86,0.95359415,0.6071855,0.5267668,0.30649254,80.93722
87,0.9575372,0.60889506,0.5206248,0.3027473,81.17986
88,0.9651198,0.6140206,0.51941156,0.3026989,81.1192
89,0.9548074,0.6077183,0.5283591,0.30773687,80.831055
90,0.9642099,0.61521095,0.5232787,0.30442095,81.05854
91,0.9596603,0.6116978,0.52502275,0.30578038,80.9448
92,0.9748256,0.6144665,0.5189566,0.3019522,81.21777
93,0.9457082,0.60619515,0.5245678,0.30489317,81.05854
94,0.9675462,0.6118336,0.5261601,0.30605614,80.95238
95,0.9793752,0.62012494,0.5254777,0.30638,80.86897
96,0.96360326,0.6095933,0.5206248,0.30307668,81.1192
97,0.96360326,0.6116318,0.52449197,0.30580503,80.91447
98,0.97573555,0.6198157,0.52380955,0.30562848,80.90688
99,0.9723992,0.62079674,0.5191083,0.30266592,81.104034
100,0.96269333,0.60970145,0.51653016,0.3013456,81.18745
101,0.9730058,0.6153975,0.5197907,0.30260846,81.14953
102,0.9739157,0.6158482,0.52138305,0.30310285,81.164696
103,0.9651198,0.61263126,0.5254777,0.3064163,80.86897
104,0.9687595,0.6152926,0.5255535,0.30642214,80.88414
105,0.97330904,0.6151846,0.5197149,0.30321372,81.05854
106,0.97209585,0.6160717,0.52858657,0.3078759,80.80831
107,0.9532909,0.6054641,0.5225963,0.30435646,81.03579
108,0.96633303,0.6142911,0.5212314,0.30369082,81.066124
109,0.95359415,0.60828286,0.5231271,0.30429557,81.066124
110,0.97755533,0.6220912,0.5184258,0.30182868,81.17986
111,0.9642099,0.6122546,0.5220655,0.30404022,81.05096
112,0.9818016,0.6210003,0.5246436,0.30573437,80.929634
113,0.96208674,0.6094498,0.5214589,0.3039067,81.04337
114,0.9599636,0.60973835,0.5232787,0.30456576,81.04337
115,0.9796785,0.6195706,0.5263118,0.30628914,80.9448
116,0.9745223,0.6184236,0.5245678,0.305433,80.967545
117,0.9538975,0.6082001,0.52418864,0.3052904,80.98271
118,0.9793752,0.6205098,0.5198665,0.30308405,81.08128
119,0.96148014,0.61060536,0.5190325,0.3023977,81.15711
120,0.9599636,0.6108011,0.5204732,0.30299512,81.13436
121,0.9842281,0.6184115,0.5260843,0.3057363,80.99788
122,0.9575372,0.60941225,0.52365786,0.3053623,80.93722
123,0.9848347,0.62235796,0.5212314,0.30350542,81.08887
124,0.9909008,0.6256596,0.52562934,0.30590656,80.95238
125,0.97421896,0.6183543,0.5206248,0.30327976,81.09645
