,validatation_mae,validation_mse,train_mae,train_mse
0,1.1737944,0.689854,1.2214892,0.73234206
1,1.1786473,0.69071114,1.1526388,0.6891201
2,1.1731877,0.6877083,1.1359569,0.66846204
3,1.1722778,0.68639773,1.1322415,0.6662223
4,1.1728845,0.68641275,1.1348195,0.6679386
5,1.1683348,0.6842755,1.1323173,0.66664606
6,1.07431,0.6390586,1.0878829,0.64506966
7,1.0194116,0.6147571,1.0220655,0.6122452
8,1.0163785,0.6122248,0.99393386,0.5991076
9,0.9532909,0.57979405,0.9640582,0.5839204
10,0.9414619,0.5741192,0.9363816,0.57083166
11,0.9387322,0.5736241,0.9302396,0.5672418
12,0.9259933,0.57019264,0.9133303,0.5596678
13,0.9602669,0.58398855,0.93243855,0.5690079
14,0.9244768,0.56546324,0.90635425,0.5555731
15,0.94176525,0.5749706,0.9030179,0.55508786
16,0.93054295,0.57018363,0.9027146,0.5545633
17,0.9250834,0.5696944,0.89861995,0.55262196
18,0.9272066,0.5674977,0.901198,0.5541003
19,0.92690325,0.56923705,0.896421,0.55152035
20,0.9463148,0.57661945,0.8968001,0.5520922
21,0.9308462,0.56956965,0.8944495,0.5495789
22,0.91568094,0.5623791,0.8933879,0.5506137
23,0.91750073,0.5657807,0.89717925,0.55224174
24,0.914771,0.5626966,0.88527447,0.546407
25,0.9250834,0.5656417,0.89664847,0.55181825
26,0.93327266,0.5704134,0.8861844,0.5465328
27,0.92265695,0.571161,0.8904307,0.54917026
28,0.93691236,0.5756067,0.8721565,0.54012805
29,0.91750073,0.56440717,0.88459206,0.5447592
30,0.9241735,0.5682666,0.8869427,0.5465846
31,0.9123446,0.5610099,0.882014,0.54389054
32,0.95784044,0.58244944,0.8755687,0.5417686
33,0.92265695,0.56877685,0.8840613,0.5458522
34,0.93114954,0.5696954,0.8714741,0.53991944
35,0.933576,0.5750811,0.8700334,0.53834546
36,0.92053384,0.56700903,0.86745524,0.53701764
37,0.92690325,0.5705543,0.86912346,0.539573
38,0.92841977,0.56939113,0.87390053,0.5408479
39,0.9441917,0.57766247,0.88383377,0.544933
40,0.929633,0.57190526,0.8707158,0.5397855
41,0.92902637,0.5705015,0.8764028,0.5425175
42,0.9202305,0.56959236,0.8752654,0.5415648
43,0.93266606,0.5715509,0.8685927,0.5383171
44,0.9047619,0.56375307,0.87177736,0.5404553
45,0.93054295,0.572137,0.864498,0.5363935
46,0.9117379,0.56205964,0.87799513,0.5426745
47,0.93630576,0.57514626,0.8589627,0.5338809
48,0.9408553,0.5737195,0.86768275,0.53822523
49,0.9153776,0.5685084,0.85774946,0.53271896
50,0.91628754,0.56206846,0.85919017,0.53396344
51,0.9253867,0.56916904,0.8530482,0.52971876
52,0.9299363,0.5719877,0.86131334,0.53489923
53,0.92205036,0.5702544,0.8580528,0.53306323
54,0.929633,0.5718002,0.8635881,0.5352953
55,0.9193206,0.56874216,0.8541098,0.5322381
56,0.918714,0.5648643,0.8664695,0.5377329
57,0.92690325,0.57272637,0.85418564,0.53072345
58,0.92690325,0.5745604,0.85972095,0.53379184
59,0.9074917,0.5616456,0.8531999,0.5296942
60,0.94328177,0.5768717,0.84918106,0.5287113
61,0.93266606,0.57100403,0.8490294,0.5276645
62,0.9238702,0.5722106,0.8559296,0.53071034
63,0.91659087,0.56439847,0.8524416,0.53029925
64,0.9278132,0.5720537,0.84713376,0.52722543
65,0.9190173,0.5654784,0.8506976,0.529624
66,0.92902637,0.5756198,0.8501668,0.528613
67,0.9241735,0.56965625,0.8380346,0.5222962
68,0.9490446,0.58325404,0.8392478,0.52329415
69,0.9193206,0.5684899,0.848802,0.5277585
70,0.93327266,0.5718468,0.8498635,0.5288493
71,0.9087049,0.5601663,0.83507735,0.5217978
72,0.91659087,0.56673473,0.840461,0.5236635
73,0.9096148,0.5624368,0.8368214,0.522725
74,0.9117379,0.56300753,0.8392478,0.5234303
75,0.9633,0.5917988,0.83735216,0.52180576
76,0.96269333,0.5880105,0.83022445,0.5183143
77,0.92205036,0.5719429,0.8283288,0.51732075
78,0.91082805,0.5650267,0.8361389,0.5219417
79,0.92265695,0.5749168,0.8381104,0.52180135
80,0.93205947,0.57375515,0.83879286,0.5229206
81,0.9244768,0.5736751,0.83439493,0.5216301
82,0.918714,0.5728823,0.84084016,0.5233841
83,0.94813466,0.58795226,0.8205187,0.5134791
84,0.9117379,0.562311,0.83105856,0.5185635
85,0.9150743,0.5642285,0.82476497,0.5151132
86,0.93114954,0.57864285,0.8254474,0.5160545
87,0.92114043,0.5716994,0.83075523,0.5188286
88,0.9499545,0.58539146,0.8205945,0.5130854
89,0.9250834,0.57638246,0.8166515,0.5107771
90,0.9690628,0.59332925,0.8197604,0.51307976
91,0.91143465,0.56230557,0.8232484,0.5151913
92,0.9399454,0.57967323,0.8240067,0.514648
93,0.93114954,0.5769715,0.8135426,0.50853723
94,0.93630576,0.57934815,0.8093721,0.5072885
95,0.93236274,0.57903,0.81179863,0.50759244
96,0.93266606,0.5796577,0.8183197,0.511347
97,0.9153776,0.57094955,0.8083864,0.5059002
98,0.92811644,0.57745844,0.8086139,0.5053957
99,0.93327266,0.5781782,0.80702156,0.5045094
100,0.94813466,0.58506304,0.8164998,0.51105475
101,0.9341826,0.5815729,0.81308764,0.50908476
102,0.9387322,0.5817731,0.7979982,0.49976578
103,0.970276,0.59832954,0.80057627,0.5022256
104,0.93539584,0.579724,0.8066424,0.50432664
105,0.9538975,0.5856071,0.7923112,0.49666062
106,0.9181074,0.5667426,0.79049134,0.49657175
107,0.9123446,0.5656528,0.81172276,0.50801986
108,0.9463148,0.58586276,0.78844404,0.49517962
109,0.9278132,0.5784154,0.805505,0.5031927
110,0.940552,0.58203894,0.79784656,0.498645
111,0.9542008,0.5884817,0.7908705,0.49497223
112,0.9390355,0.58485824,0.78427356,0.49205568
113,0.96299666,0.5962441,0.79557174,0.49763897
114,0.94813466,0.5872822,0.7825296,0.49054095
115,0.9259933,0.5791392,0.7957992,0.49766314
116,0.921747,0.5739027,0.7869275,0.49172074
117,0.9202305,0.5749004,0.78707916,0.49334097
118,0.9250834,0.5753745,0.7780558,0.4874775
119,0.9344859,0.5799815,0.7904155,0.49384815
120,0.9265999,0.57344437,0.77957237,0.4878475
121,0.970276,0.60208344,0.77297544,0.48373914
122,1.0042462,0.6169587,0.79049134,0.4945932
123,0.9548074,0.5898888,0.76235974,0.4783279
124,0.936609,0.5834509,0.7731271,0.4836466
125,0.94813466,0.59120584,0.77016985,0.48196936
126,0.94874126,0.5894432,0.7634971,0.47812617
127,0.9648165,0.59892267,0.76706094,0.48064703
128,0.9441917,0.5880905,0.7633455,0.4792586
129,0.96360326,0.59983337,0.7586442,0.47486845
130,0.9490446,0.5899829,0.75894755,0.47530884
131,0.9454049,0.5879736,0.7541705,0.4739521
132,0.95935696,0.59991276,0.7612223,0.47708833
133,0.94813466,0.59428203,0.7465878,0.46785042
134,0.97634214,0.6009942,0.74681526,0.46729022
135,0.97148925,0.60844946,0.7488626,0.46961778
136,0.9915074,0.6120728,0.7527298,0.47073334
137,0.9590537,0.59713537,0.7506066,0.4688326
138,0.9575372,0.5905744,0.7442372,0.46524492
139,0.9830149,0.6052541,0.74332726,0.46426153
140,0.9687595,0.6015319,0.7324082,0.45956972
141,0.93630576,0.58757263,0.7493176,0.46874994
142,0.9723992,0.60944486,0.74590534,0.46615815
143,0.95935696,0.5986109,0.7456779,0.46617442
144,0.96269333,0.6019331,0.73703367,0.46118158
145,0.98149836,0.6111469,0.7509099,0.46710154
146,0.9754322,0.60555804,0.74052167,0.46218386
147,0.9408553,0.5974764,0.73756444,0.46000758
148,0.96178347,0.6066284,0.7299818,0.45493984
149,0.93691236,0.58357656,0.73900515,0.45970657
150,0.9639066,0.6000372,0.73339397,0.457114
151,0.9645132,0.6033767,0.7317258,0.45682898
152,0.9687595,0.6032318,0.74605703,0.46456113
153,0.93266606,0.58378494,0.7308917,0.45620134
154,0.9699727,0.6018863,0.72778285,0.45213884
155,0.95359415,0.598485,0.7162572,0.44673875
156,0.9551107,0.59075636,0.72611463,0.45167696
157,0.9699727,0.60034966,0.7252047,0.45011172
158,0.9538975,0.5943635,0.7293752,0.45158234
159,0.9420686,0.5967512,0.71663636,0.44456935
160,0.94783133,0.59897554,0.7154231,0.44487977
161,0.9399454,0.59113395,0.7322566,0.4529847
162,0.9639066,0.6051529,0.72785866,0.45162317
163,0.9639066,0.6088708,0.71580225,0.44395962
164,0.9693661,0.6144311,0.7153473,0.44234785
165,0.94328177,0.59130996,0.7096603,0.43985707
166,0.9675462,0.6108055,0.7095845,0.43894574
167,0.94661814,0.5987415,0.70586896,0.43454978
168,0.9808917,0.6189753,0.7111768,0.43926248
169,0.9557173,0.60284257,0.69896877,0.4320916
170,0.9390355,0.5875804,0.7060965,0.43571323
171,0.9584471,0.6026237,0.7057173,0.4358666
172,0.92902637,0.5912081,0.7042008,0.43634632
173,0.97573555,0.61554915,0.7040491,0.43482777
174,0.9575372,0.6042468,0.69381255,0.42775694
175,0.96239007,0.6027553,0.68865633,0.422542
176,0.9751289,0.60765386,0.69009703,0.4264718
177,0.97725207,0.60788006,0.6939642,0.42813754
178,0.9651198,0.6027595,0.6913861,0.42527446
179,0.9942372,0.6192433,0.68918717,0.42314678
180,0.9414619,0.59085155,0.6979072,0.42889228
181,0.9693661,0.6069883,0.68676066,0.42176303
182,0.93539584,0.58974177,0.6894146,0.42369142
183,0.978162,0.6141008,0.6941917,0.42559147
184,0.9596603,0.5998276,0.68531996,0.42108834
185,0.9839248,0.61921346,0.67697906,0.41537413
186,0.9690628,0.6032566,0.683121,0.4216997
187,0.9842281,0.6135062,0.679633,0.41484016
188,0.9399454,0.59266406,0.67629665,0.41454738
189,1.0048529,0.6191299,0.6786473,0.4146533
190,0.9499545,0.595364,0.6780406,0.4145127
191,0.9802851,0.6186043,0.67614496,0.4149717
192,0.94328177,0.5891932,0.6650743,0.40742627
193,0.98695785,0.6159447,0.66719747,0.40854433
194,0.9905975,0.6124526,0.6724295,0.40953746
195,0.96845615,0.60708785,0.66416436,0.40534025
196,0.98119503,0.61908555,0.66750073,0.4072752
197,0.98908097,0.6228874,0.67038214,0.40841734
198,0.9739157,0.6140293,0.668259,0.40622193
199,0.9802851,0.6198317,0.6703063,0.40740624
200,0.9705793,0.6091805,0.6721262,0.40804273
201,0.9787686,0.6183769,0.66226876,0.40391538
202,0.9711859,0.61706597,0.6501365,0.39564794
203,0.99120414,0.6188581,0.66340613,0.4029184
204,0.9708826,0.6064078,0.66515017,0.40356845
205,0.9557173,0.60258776,0.6700789,0.40734974
206,0.97785866,0.61315995,0.6590082,0.39816937
207,0.9818016,0.61090726,0.65286624,0.3963325
208,0.97694874,0.6164852,0.659084,0.399769
209,0.9708826,0.61032784,0.65658176,0.39770037
210,0.95723385,0.6047997,0.6547619,0.398058
211,0.9660297,0.6103465,0.65218383,0.39481086
212,0.9730058,0.61462337,0.65066725,0.39399266
213,0.97330904,0.62395436,0.6482408,0.39239907
214,0.96087354,0.6084416,0.64649683,0.39071098
215,0.9633,0.6044763,0.6545344,0.39709076
216,0.9787686,0.61438435,0.65172887,0.39426023
217,0.9496512,0.59642386,0.65430695,0.3953477
218,0.978162,0.6166026,0.655596,0.39661005
219,0.9723992,0.61004424,0.644677,0.39019716
220,0.9435851,0.59807557,0.64604187,0.39054406
221,0.98847437,0.6224144,0.63535035,0.3842508
222,0.9915074,0.6288096,0.63535035,0.3825234
223,0.98210496,0.61822456,0.63808006,0.38430658
224,0.96148014,0.60922796,0.63861084,0.38516188
225,0.9860479,0.6257626,0.6342887,0.38326702
226,0.98149836,0.62277603,0.6406582,0.38691786
227,0.9766454,0.61061704,0.6336063,0.382051
228,0.9818016,0.6142074,0.6299666,0.37993628
229,0.97330904,0.61209023,0.6306491,0.37998596
230,0.9708826,0.6134529,0.620185,0.3733068
231,0.98695785,0.618996,0.6185927,0.37300038
232,0.97330904,0.60972327,0.62625116,0.37563327
233,0.9957537,0.62797785,0.63717014,0.38323796
234,0.9830149,0.62120414,0.6215499,0.37366852
235,0.97330904,0.61420316,0.6247346,0.37636968
236,0.97846526,0.62236756,0.6235214,0.37450454
237,0.95298755,0.6026585,0.62200487,0.37285206
238,0.9787686,0.6187938,0.6210191,0.37494946
239,0.9902942,0.6243543,0.62685776,0.37687552
240,0.9893843,0.62183267,0.63095236,0.37942362
241,0.9730058,0.6163686,0.6185927,0.37191695
242,0.9854413,0.61969113,0.6080528,0.36415622
243,0.97148925,0.61158496,0.61457384,0.36912718
244,0.94813466,0.59803945,0.6248863,0.37400222
245,0.9754322,0.61135674,0.6257203,0.3746691
246,0.9711859,0.61443186,0.6150288,0.36947808
247,1.0087959,0.6298818,0.60714287,0.36507967
248,0.97907186,0.6138551,0.6198817,0.37160087
249,0.9766454,0.6207511,0.598802,0.35808972
250,0.99545044,0.6268325,0.5890961,0.35153213
251,0.9675462,0.6115487,0.5875796,0.34901366
252,0.9866545,0.6270756,0.57711554,0.3425475
253,0.9860479,0.62163466,0.5797695,0.3445764
254,0.97634214,0.61731565,0.5783288,0.34292135
255,0.98210496,0.61965936,0.57249016,0.33966073
256,0.96239007,0.61130464,0.5777222,0.34271058
257,0.96208674,0.60906506,0.57302094,0.3388155
258,0.9824082,0.6191462,0.568623,0.33679995
259,0.96148014,0.6130291,0.57158023,0.3373203
260,0.9745223,0.6176252,0.568623,0.33530226
261,0.97907186,0.61973214,0.57590234,0.33935642
262,0.9648165,0.6123284,0.57082194,0.33737108
263,0.97785866,0.6185191,0.56612074,0.33396837
264,0.9842281,0.6227565,0.56596905,0.33390555
265,0.99120414,0.6250445,0.56172276,0.33127207
266,0.98058844,0.62074494,0.56816804,0.3346292
267,0.99302393,0.6273104,0.5655899,0.33336398
268,0.9751289,0.6167791,0.5551259,0.32815176
269,0.9660297,0.6142519,0.56331515,0.33130726
270,0.96208674,0.60955185,0.56255686,0.33140388
271,0.9739157,0.61783004,0.5603579,0.3300444
272,0.9605702,0.608067,0.56536245,0.3331181
273,0.97361237,0.6135178,0.56316346,0.33163658
274,0.9787686,0.6217512,0.5605854,0.33041245
275,1.0024265,0.63412035,0.5603579,0.33046207
276,0.98908097,0.6266325,0.55558085,0.32706857
277,0.9681529,0.6137863,0.555505,0.32701123
278,0.95784044,0.61147386,0.5580831,0.32828373
279,0.9654231,0.6121333,0.5560358,0.32725003
280,0.9754322,0.6211204,0.55755234,0.32866627
281,0.99605703,0.62717503,0.560737,0.33015692
282,0.9605702,0.6099291,0.551562,0.32450703
283,0.9799818,0.619767,0.5580073,0.3282818
284,0.9808917,0.62306005,0.5473916,0.32232648
285,0.9860479,0.62332004,0.55542916,0.32664314
286,0.9611768,0.611409,0.5516378,0.32539284
287,0.97270244,0.61951655,0.5501971,0.3240342
288,0.9905975,0.63051677,0.55398846,0.3254399
289,0.98756444,0.62497014,0.55702156,0.32739973
290,1.0018198,0.6298602,0.55626327,0.32652315
291,0.9839248,0.6207521,0.5545951,0.32646358
292,1.0006067,0.63519865,0.55057627,0.32433107
293,0.978162,0.6174029,0.54534423,0.3210526
294,0.9723992,0.6180141,0.55072796,0.32352912
295,0.96784955,0.6141005,0.55110705,0.32363433
296,0.9842281,0.6260983,0.54534423,0.32149267
297,0.9793752,0.62357,0.5448893,0.32013896
298,0.98847437,0.6277258,0.55194116,0.32397658
299,0.98210496,0.6192163,0.55133456,0.32467225
300,0.97330904,0.61882037,0.552017,0.3242229
301,0.978162,0.6229495,0.54845315,0.3222088
302,0.9787686,0.6201377,0.54617834,0.32082906
303,0.97330904,0.61602575,0.5481498,0.3217419
304,0.99545044,0.6306519,0.5436761,0.31966943
305,1.0033363,0.63550174,0.5440552,0.3200889
306,0.970276,0.6134214,0.5446618,0.31992227
307,0.9857446,0.6246433,0.54064304,0.31755388
308,0.96724296,0.61251897,0.5383682,0.31662872
309,0.9818016,0.6216015,0.54360026,0.31874275
310,0.9839248,0.6205761,0.53927815,0.31677642
311,0.9696694,0.61339086,0.545875,0.32105073
312,0.9860479,0.6235273,0.54276615,0.31854883
313,0.9972702,0.6302672,0.54473764,0.3206863
314,0.98695785,0.6251637,0.5439035,0.31929454
315,0.9708826,0.613406,0.5439035,0.32016695
316,0.98908097,0.62577623,0.54352444,0.31857428
317,0.9730058,0.61692005,0.54352444,0.31833786
318,0.98695785,0.62461305,0.5446618,0.31916818
319,0.9887777,0.62459886,0.5401881,0.3172982
320,0.9866545,0.6256712,0.5466333,0.32049236
321,0.9860479,0.6245002,0.5442827,0.31966573
322,0.95875037,0.60824114,0.5514862,0.3232042
323,0.9648165,0.61417794,0.5516378,0.3228375
324,0.9723992,0.6158719,0.53616923,0.31482938
325,0.98331815,0.6218922,0.54617834,0.32028192
326,0.97755533,0.6212767,0.53965724,0.31602436
327,0.97209585,0.6170905,0.53336364,0.31327763
328,0.9896876,0.62661713,0.53996056,0.3162908
329,0.97361237,0.6181511,0.54344857,0.31814396
330,0.9675462,0.61635786,0.54686075,0.3203906
331,0.99757355,0.63561225,0.5345011,0.31347904
332,0.98695785,0.62597597,0.5400364,0.31695843
333,0.9893843,0.6287834,0.5385957,0.31536955
334,0.99272066,0.6290902,0.54200786,0.31777164
335,0.98756444,0.62801826,0.5443585,0.31894258
336,0.9693661,0.61380243,0.54269034,0.31677583
337,0.98210496,0.6215074,0.54215956,0.31789407
338,0.9915074,0.62777174,0.5381407,0.31519192
339,0.9751289,0.61799246,0.5367758,0.31483278
340,0.97634214,0.6199921,0.53707916,0.31461534
341,0.9845314,0.6234002,0.53503186,0.31338897
342,0.97148925,0.61790544,0.5360934,0.31453526
343,0.9739157,0.6149334,0.53336364,0.31275254
344,0.99696696,0.63058525,0.5372308,0.31523612
345,0.97148925,0.6162614,0.5388232,0.31625164
346,0.99120414,0.6271133,0.53616923,0.31432644
347,0.9648165,0.6101378,0.54071885,0.31724083
348,0.99120414,0.62930465,0.53965724,0.31651622
349,0.99696696,0.62996405,0.54413104,0.31833038
350,0.97361237,0.61933476,0.5411738,0.31699687
351,0.9739157,0.6201534,0.53844404,0.31528056
352,0.9808917,0.6213007,0.54056716,0.31764778
353,0.9602669,0.6144646,0.5360176,0.31405234
354,0.97573555,0.62204474,0.53222626,0.31260622
355,0.9690628,0.6162183,0.53419775,0.3134312
356,0.9951471,0.633142,0.5337428,0.31347167
357,0.9860479,0.6231127,0.5380649,0.31548595
358,0.96178347,0.61460394,0.53647256,0.31425223
359,0.9654231,0.6130086,0.5312405,0.31146213
360,0.9599636,0.6078742,0.5401122,0.31630903
361,0.9848347,0.62237537,0.5408705,0.31686032
362,0.9857446,0.6245081,0.53480434,0.31389332
363,0.98756444,0.62489396,0.5377616,0.31462815
364,0.97634214,0.6217666,0.5442827,0.31802353
365,0.9711859,0.6188732,0.5416288,0.31776232
366,0.9639066,0.61265886,0.54124963,0.31715804
367,0.9899909,0.6264202,0.5386715,0.31571528
368,0.9739157,0.6174034,0.5382924,0.31613135
369,0.9842281,0.6250486,0.5340461,0.31383818
370,0.96845615,0.6136303,0.5389748,0.31566745
371,0.9818016,0.6209367,0.5402639,0.31700101
372,0.9848347,0.62488854,0.53412193,0.31309268
373,0.99545044,0.6284316,0.5461025,0.32020542
374,0.9978769,0.6315695,0.53905064,0.31591678
375,0.9793752,0.62094146,0.54071885,0.3168824
376,0.9848347,0.62234414,0.5394298,0.31629986
377,0.9896876,0.62644154,0.53639674,0.3142393
378,0.9899909,0.62686205,0.53927815,0.31601524
379,0.98756444,0.62557393,0.5353351,0.31372145
380,0.96663636,0.6159063,0.53965724,0.31606156
381,0.9808917,0.6223491,0.5423112,0.31773904
382,0.98847437,0.62641203,0.53844404,0.31527755
383,0.9857446,0.6255916,0.53760993,0.3152269
384,0.9693661,0.6166978,0.54208374,0.31730017
385,0.98210496,0.6233847,0.5329087,0.3126972
386,0.99393386,0.6290608,0.53624505,0.31389582
387,0.9802851,0.6205295,0.5310131,0.31157827
388,0.9705793,0.6198341,0.53707916,0.3154066
389,0.97270244,0.6161142,0.53791326,0.31484947
390,0.9751289,0.61815506,0.53017896,0.31186506
391,0.9818016,0.6212787,0.53927815,0.3169576
392,0.9754322,0.6226305,0.54056716,0.3161727
393,0.97148925,0.61858296,0.53700334,0.31501997
394,0.96269333,0.6123317,0.5372308,0.31456333
395,0.96784955,0.61133826,0.5366242,0.31495488
396,0.96299666,0.61274225,0.542387,0.31787375
397,0.97755533,0.6208057,0.53730667,0.31529045
398,0.9605702,0.61470723,0.537155,0.31443244
399,0.98331815,0.62237835,0.54200786,0.31736538
