,validatation_mae,validation_mse,train_mae,train_mse,train_accuracy
0,1.1225356,0.6608238,1.567713,0.90386003,44.494995
1,1.1225356,0.6608237,1.1488475,0.67480356,57.6054
2,1.1222323,0.6605205,1.1518805,0.6763093,57.537155
3,1.1216257,0.6601207,1.1455868,0.67285615,57.734303
4,1.1279951,0.66468424,1.1458144,0.67309856,57.70397
5,1.1222323,0.6607273,1.145511,0.67262495,57.764633
6,1.059448,0.6299604,1.1358811,0.66835463,57.916286
7,0.9463148,0.5766696,1.0204731,0.6120783,60.562634
8,0.9238702,0.56690633,0.9557173,0.5801382,62.09433
9,0.93630576,0.57053834,0.9419169,0.5744452,62.2384
10,0.9117379,0.56160843,0.9306946,0.5683087,62.5872
11,0.9454049,0.57627845,0.9149985,0.5601204,63.019413
12,0.92265695,0.56437486,0.9146952,0.56003606,63.026993
13,0.92053384,0.56467813,0.9053685,0.5556434,63.208977
14,0.9111313,0.56254005,0.90150136,0.5531859,63.375797
15,0.9302396,0.5696192,0.89937824,0.5531517,63.27722
16,0.91689414,0.56346387,0.90006065,0.55327517,63.269638
17,0.9111313,0.55955094,0.89111316,0.5482532,63.58811
18,0.914771,0.5621999,0.89596605,0.55133,63.36063
19,0.92265695,0.56509966,0.8968001,0.55238247,63.254475
20,0.91355777,0.560823,0.8895966,0.54794556,63.56536
21,0.9193206,0.56476605,0.8808007,0.54404265,63.70185
22,0.9196239,0.5633101,0.8775402,0.5421438,63.81559
23,0.92326355,0.5652178,0.88095236,0.5433039,63.823174
24,0.9493479,0.5815797,0.8748863,0.54072195,63.90658
25,0.92114043,0.5642341,0.8769336,0.5421802,63.762512
26,0.92690325,0.5676876,0.8629815,0.53490114,64.16439
27,0.89869577,0.5539368,0.86904764,0.5378973,64.0279
28,0.9378223,0.57543975,0.8695026,0.538379,63.967243
29,0.91780406,0.5623178,0.87033665,0.53837633,64.01274
30,0.9011222,0.55568224,0.87139827,0.53875387,64.01274
31,0.92114043,0.5659046,0.86889595,0.53810096,63.982407
32,0.95298755,0.58174473,0.86677283,0.5370537,64.035484
33,0.90354866,0.5564804,0.85911435,0.5333459,64.194725
34,0.93175614,0.57159257,0.86760694,0.53724086,64.04307
35,0.92750984,0.5719044,0.86320895,0.5347519,64.194725
36,0.9250834,0.5683991,0.85919017,0.5337108,64.13406
37,0.9053685,0.55898273,0.8446315,0.52588314,64.57385
38,0.9111313,0.56085336,0.86396724,0.536405,63.967243
39,0.929633,0.57412887,0.84281164,0.5250801,64.581436
40,0.8996057,0.5576383,0.8530482,0.52938807,64.44495
41,0.9153776,0.5622461,0.8481953,0.52783024,64.46011
42,0.91628754,0.5646035,0.8418259,0.5243326,64.634514
43,0.92114043,0.56599396,0.8375038,0.52281743,64.657265
44,0.9074917,0.562181,0.8446315,0.5255658,64.60419
45,0.9235669,0.5686696,0.8509251,0.5294144,64.33121
46,0.8962693,0.5535806,0.8410676,0.5239877,64.64968
47,0.91750073,0.5641292,0.83371246,0.5218215,64.60419
48,0.91841066,0.57054067,0.8411435,0.5235835,64.695175
49,0.9153776,0.5626559,0.8389445,0.5244756,64.482864
50,0.92811644,0.5742676,0.83363664,0.52018553,64.83925
51,0.9181074,0.5666433,0.83393997,0.52179044,64.61177
52,0.9287231,0.57041067,0.8331817,0.52002007,64.83925
53,0.9190173,0.56691843,0.826054,0.51644474,65.043976
54,0.9111313,0.56466734,0.8319684,0.51855004,65.01365
55,0.91689414,0.5688462,0.8206703,0.5126496,65.30179
56,0.89869577,0.55522174,0.81801635,0.5123808,65.20322
57,0.93205947,0.5765709,0.816879,0.5120642,65.19563
58,0.9238702,0.5689437,0.8152108,0.51144737,65.18805
59,0.9132545,0.56676,0.8193054,0.513836,65.05914
60,0.93175614,0.5736633,0.8070974,0.50607824,65.605095
61,0.88686687,0.5509091,0.8130118,0.5096924,65.32454
62,0.9129512,0.5718263,0.8049742,0.5049576,65.63543
63,0.91204125,0.56389254,0.80831057,0.5063789,65.57477
64,0.91719747,0.5673164,0.7954959,0.4995827,65.93873
65,0.91143465,0.56636155,0.8130118,0.50955164,65.34728
66,0.9250834,0.5719942,0.8023203,0.5035694,65.69609
67,0.91416436,0.56842804,0.79966635,0.5021767,65.779495
68,0.91355777,0.56811297,0.8008796,0.502247,65.802246
69,0.9190173,0.5692234,0.79989386,0.5014915,65.85532
70,0.9299363,0.5751719,0.807249,0.50531346,65.68092
71,0.90506524,0.56170785,0.78639674,0.49473214,66.204124
72,0.89717925,0.5576533,0.79504097,0.49893096,66.01456
73,0.9199272,0.5743968,0.80133456,0.503213,65.67334
